"country","Cases Averted (thousands)","Deaths Averted","YLLs Averted (thousands)","YLDs Averted (thousands)","DALYs Averted (thousands)","Percent DALYs Averted","Averted Treatment Costs (thousands)","Cost of Routine Vaccination (thousand)","Cost of Campaign Vaccination (thousand)","Cost of Vaccination (thousand)","Net Costs (thousands)","Percent Cases & Deaths & Treatment Costs Averted"
"Pakistan","1963100.46896366 (912316.818815821-3474876.99325505)","4,156 (448-38,638)","235723.857007136 (25192.9707393444-2236324.59746923)","10965.3719119701 (2292.1262632581-49975.7450252215)","249810.772603881 (31589.4182767305-2263829.40781551)","61 (36-75)","2306174.93930217 (514822.481840714-8059116.8940178)","91950666.9308087 (54158395.8343651-176880790.053312)","8154113.38709722 (7375359.95326557-14995910.4461776)","101247254.419889 (63349628.5628192-188342968.295498)","98287736.6858002 (60013941.3573653-184919285.098537)","60 (35-74)"
"Papua New Guinea","495037.578306439 (58892.669618391-1008393.76272632)","2,364 (65-42,045)","130492.465398065 (3732.12840627625-2331843.30055766)","2654.78785946938 (229.25349031091-13746.4676935076)","135551.756329296 (5285.64571209323-2340556.83886736)","57 (22-76)","5309455.3964816 (444813.739673167-41191638.1851488)","3311575.23192798 (2743094.4021366-4744704.21027411)","392062.624699342 (360185.135456606-683818.03928998)","3741752.35427417 (3142925.95869424-5176773.2599498)","-1496699.7206169 (-37208259.879236-3510312.65638194)","55 (19-74)"
"Republic of Sudan","310004.818129483 (107219.166632776-642778.871033313)","1,617 (65-27,474)","89456.7323242222 (3689.67571506783-1492279.62250653)","1763.05962223051 (306.627474011122-8426.90510083185)","90823.7176861376 (5520.391945005-1494597.1312493)","78 (46-90)","2727511.43867495 (467914.505265239-19040605.9614859)","41156652.6966599 (24527565.0209268-78678145.5736878)","2780099.77669014 (2578220.99161673-3686342.74850062)","43989178.5785267 (27344457.753412-81675308.3971991)","39918483.3092734 (19142394.1388644-77581299.6389156)","76 (44-89)"
"Rwanda","141382.23534141 (59942.7557616542-272754.519896049)","765 (35-10,746)","40130.1953077746 (1881.93153090495-577480.286162165)","826.967649611616 (165.11682053823-3655.41758067189)","41326.3651687779 (2686.01747767583-579401.645908786)","80 (52-91)","740110.207273619 (134098.934882525-4796411.28356467)","3457022.71473851 (2155484.05929325-8421763.66066827)","800253.504856808 (744149.414392896-859168.326160603)","4258745.21119331 (2945156.62545351-9230630.41033704)","3361746.91482788 (-390066.232641888-8178605.7205164)","78 (50-90)"
"Sao Tome e Principe","563.518283492138 (83.1394693899066-1612.29193633743)","3 (0-59)","154.752022319149 (4.43620989703767-3253.008816834)","3.19775718219089 (0.29267085708405-18.996546699464)","160.023761235921 (6.34570618061872-3257.07235945677)","79 (54-91)","3828.96472501988 (371.077814613729-31668.6461758186)","186826.500026218 (126433.410487198-324278.282713564)","13408.8353597962 (12309.868449984-23351.6281760372)","201189.736366782 (141219.664250086-342401.290458373)","194989.261484079 (131785.27685566-335305.768994824)","77 (52-91)"
"Senegal","122533.910335029 (554.968204094965-248106.544678304)","345 (2-6,064)","18129.7910563029 (80.0078557590381-316817.471424826)","566.213003414198 (2.71856372250223-3250.34976485923)","19227.2621699601 (92.3894725135579-318157.026825009)","78 (52-91)","708992.898174317 (4057.47288312542-6046521.94907609)","9534348.91942931 (4873042.4128396-20419184.7871707)","1044334.80713157 (970505.646726856-1121513.67565709)","10591643.1350524 (5937883.57714545-21497831.6062373)","9496205.09171981 (2825310.9189468-20533129.3324077)","76 (49-90)"
"Sierra Leone","168204.17931886 (564.309048731364-491064.968488651)","670 (2-17,315)","27445.324639123 (88.7711167080056-735664.669457376)","832.442998657455 (2.52815738377003-6117.20692884319)","29293.106053165 (114.990598281043-736894.851405434)","79 (50-91)","671431.661420512 (2938.12704758531-6393324.45567245)","3663031.00313615 (1674529.79097886-8307167.84240572)","445032.297264015 (413552.910398845-479665.063727619)","4116538.12367621 (2127479.11831699-8767033.62252989)","3152759.8129098 (-2444826.73624986-8141153.31733304)","77 (48-90)"
"Solomon Islands","22026.615668919 (3095.57505000418-58759.8888390378)","104 (3-2,197)","6283.33298162068 (189.913720826096-130728.443699713)","121.765626140572 (12.4072607729157-762.444358557771)","6409.83865838728 (255.760753251846-131134.885957952)","78 (46-91)","296870.440811959 (26382.9158309896-2704073.90487316)","451268.423250225 (373388.25635805-648780.949764811)","40833.8789479799 (37507.9651779548-71190.5755599821)","495331.748762351 (415905.264356859-694426.598486935)","201309.297223829 (-2232244.20300977-554551.429760716)","77 (43-90)"
"Somalia","193461.778563574 (92920.7535781281-378470.317110168)","1,071 (47-15,609)","44874.2169441422 (2051.3186930569-678081.037565531)","1155.83347786452 (241.83193060729-4888.40101831927)","46296.4135575691 (3096.77657246695-678836.670195737)","71 (46-86)","790620.240084143 (132737.113424524-5166752.77111999)","4742019.18228975 (1952523.18855984-11086788.9854322)","745921.313565938 (693710.348342688-804995.475922839)","5490754.67222542 (2704348.93764633-11858275.9238224)","4426183.25313247 (-141586.518802942-11022498.0216756)","69 (43-85)"
"South Sudan","115381.400301678 (56068.3632080868-198772.812971186)","655 (26-9,409)","28640.3926216065 (1211.439864038-414593.064756054)","680.224823319916 (142.549051660452-2739.58752262677)","29420.3227522044 (1788.3266067086-416284.289833355)","68 (39-82)","1023825.96975084 (208508.541753366-7297819.97346257)","3346943.94160915 (1599541.7328138-7314804.78651146)","854016.246282327 (793619.600260436-919904.984523675)","4201889.9987811 (2467596.26845399-8196913.43939836)","2987112.84361731 (-3165465.40968925-7104561.13678597)","66 (38-81)"
"Sri Lanka","97660.359630345 (21013.1539215833-200160.660169434)","480 (19-7,798)","29665.3576999565 (1176.4146042675-475882.31662068)","526.397124821057 (69.3471894639823-2720.35848819392)","30351.5627545076 (1526.93169833114-476536.933804193)","66 (40-82)","1140602.52118118 (153540.894875816-8658935.61207735)","10476083.7975412 (7690613.50187031-16617810.7776919)","6612146.49064296 (6121785.85649567-7321978.97201545)","17105926.9141135 (14263375.9826903-23458711.6676746)","15708139.4778108 (8085368.09552588-21945950.5190603)","63 (37-80)"
"Tajikistan","8083.45930932024 (770.478955690547-19413.0720827479)","39 (1-701)","2135.29573846221 (44.3631296151732-39305.5797045745)","41.8696164016182 (3.53854312487533-244.665563882243)","2198.83692514601 (60.1036322316875-39369.7531201242)","77 (52-91)","48193.2267226781 (3328.44827855662-374364.796224716)","10336120.1051136 (4186241.71653987-23936950.5761986)","587694.131911983 (545223.129200737-778429.353050224)","10924678.2001424 (4748965.35747525-24581407.3591187)","10832236.2203427 (4678872.62032866-24576210.5672126)","75 (49-90)"
"Tanzania","788017.685339725 (258686.019574877-1930314.9469474)","4,057 (165-71,580)","221461.167365699 (8857.27110544395-4021887.16301496)","5732.29830896864 (818.459033145172-32617.6634521416)","229686.824917461 (13394.3966327733-4036869.66023305)","79 (51-91)","2771653.82205539 (440856.318102362-17242791.3572632)","33700027.6211763 (17224272.1476633-72176749.823366)","3685376.76078089 (3426648.11361974-3955696.33337148)","37435406.6399408 (20980509.6501635-75987717.1382618)","33600283.3113231 (14473845.7424249-73203840.9657541)","78 (49-90)"
"Timor Leste","21160.7892759134 (3867.56126671545-38043.8286095983)","107 (4-1,707)","6520.38232045163 (230.269911080009-104661.730533918)","116.372149400533 (15.1841441472492-521.887318437755)","6635.83699289916 (330.39708218062-104795.657270193)","75 (43-89)","239601.125880237 (29812.5165543458-1785734.44852313)","1194687.52670224 (877860.592022435-1893291.55971297)","766463.58268581 (709953.448774366-849397.034188837)","1964576.57805674 (1639583.71420259-2685859.31573918)","1693229.37041141 (217220.370012252-2448881.67294028)","74 (41-88)"
"Togo","84990.8360479733 (263.369822791998-155488.629920856)","309 (1-6,959)","15179.908848994 (39.3045252583771-351001.529522312)","368.533905803567 (1.46057395767603-2107.9865397404)","15653.09508504 (47.1656060945584-351908.064877097)","80 (51-91)","315747.04207209 (820.350032372358-2454333.58349395)","4146611.10091816 (1895632.69797493-9403811.76870339)","503872.943582089 (468240.512724005-542959.168035302)","4660000.63844863 (2408280.39131603-9924406.08202784)","4181455.89929702 (1353653.19134955-9565104.64519436)","78 (49-90)"
"Uganda","275766.638456451 (156192.050026855-401559.36570123)","1,541 (69-22,233)","75167.0002880083 (3244.5382141033-1110961.15451863)","1630.39898467392 (364.630041889029-6011.02998585793)","77438.0619244218 (4944.24365332101-1112759.44938733)","80 (52-91)","1403368.08268871 (297367.893778572-9199482.29072504)","22134503.1791971 (10119329.9980122-50177120.5825373)","2739684.35584464 (2512992.46398864-3648371.04213895)","24965628.8277845 (13049168.3632053-53196089.6595912)","23015766.7225082 (9804512.48548288-51474744.9504666)","78 (50-90)"
"Ukraine","8420.59993756116 (630.637253691255-19802.9593674971)","40 (1-707)","2193.81258607027 (45.4797846278335-39051.5325258558)","43.027103216819 (2.89932603772014-256.734338977209)","2255.61247236908 (59.4096101239745-39377.6688303257)","62 (38-80)","140958.711806114 (7810.37179086035-1249797.21000105)","33992635.745295 (19240992.8207139-66673370.1430105)","14324717.7387875 (13261179.6684813-15870684.4469309)","48123241.0360431 (33451184.568273-82074675.3823629)","47916759.9694271 (33257077.9591579-82038661.4421898)","57 (33-78)"
"Uzbekistan","17159.9765592811 (1281.73592090448-42476.838287717)","80 (2-1,597)","4238.46581106798 (106.443523687344-85083.9912701582)","89.912873156286 (6.91713958019721-527.412056379141)","4394.77996267233 (150.603069243443-85144.0924009449)","69 (46-86)","137379.058166569 (9744.03608392349-1207880.35352892)","31570355.5646354 (16526396.5140656-64833377.4007213)","1541435.11090795 (1416014.28800165-2683170.42518242)","33133705.0399641 (18090257.4505191-67058211.1629484)","32923894.9297223 (17833009.9657173-66934139.3778729)","65 (42-84)"
"Vietnam","402508.552184022 (71327.1448902745-883625.628245181)","8,553 (737-74,925)","538034.768331818 (46338.3081112552-4890606.49471857)","162.465157361623 (0.0554340421022083-4372.00840121389)","538990.003449819 (46384.3509143326-4894789.60469586)","66 (39-82)","17456625.2228679 (2818882.3442877-67224115.7847152)","32874410.0045614 (27201598.0884039-47264877.0837331)","3172084.85497484 (2949150.30870296-3405434.31992193)","36004104.5265253 (30353849.6892475-50439936.0983751)","19075667.2181609 (-30468060.2640317-39093308.5783899)","62 (35-81)"
"Yemen","513425.481090477 (45838.425203957-1427138.73958664)","2,464 (73-48,452)","146342.34860522 (4384.4183425021-2772078.70093488)","2717.13593193862 (174.671516702559-16598.9842237052)","151247.891493047 (5308.67453342433-2774839.25490152)","62 (23-82)","4789265.5075082 (300335.09976583-40432894.3761872)","18952272.8250059 (9266020.08811004-40769980.9607029)","1854333.28341444 (1720794.99150888-2460104.39189261)","20822805.8567185 (11150708.5672751-42842701.5480294)","14807193.8702536 (-19241673.8825197-38033744.6405579)","60 (20-81)"
"Zambia","144788.681991589 (35668.7546436128-364710.684454303)","763 (27-13,880)","38072.7867566934 (1353.35026504547-664195.931942888)","825.176405902822 (108.330380617183-4554.29439172877)","39330.6351600858 (2004.9962326204-665969.374807752)","80 (50-91)","905598.259284281 (125727.609462074-6988844.14856424)","18066029.1254824 (13684257.3343636-23850258.3255289)","1117679.84687983 (1039539.46740548-1200274.25937627)","19186773.4218476 (14773964.760358-24968841.4976693)","18018618.1196707 (10632379.0705759-24198194.9110146)","78 (48-90)"
"Zimbabwe","70354.045751066 (4778.56066366914-252620.093079664)","535 (17-9,144)","24819.9255646864 (744.058734911926-412976.836732177)","393.118694759807 (19.520226568213-2875.17219273842)","25465.7286718824 (913.677573845509-415477.219527717)","80 (53-91)","319827.83368491 (13847.9542195084-3033491.78105542)","8855825.98435812 (4048671.22358874-20083646.2113341)","1076446.4261596 (999890.388496097-1160337.07805152)","9952796.65652532 (5143884.13661856-21196254.5135502)","9385877.64088236 (4214574.12235076-20854719.7987688)","77 (51-90)"
