"country","Cases Averted (thousands)","Deaths Averted","YLLs Averted (thousands)","YLDs Averted (thousands)","DALYs Averted (thousands)","Percent DALYs Averted","Averted Treatment Costs (thousands)","Cost of Routine Vaccination (thousand)","Cost of Campaign Vaccination (thousand)","Cost of Vaccination (thousand)","Net Costs (thousands)","Percent Cases & Deaths & Treatment Costs Averted"
"Cameroon","278341.729055038 (1758.480081312-518205.088569807)","1,035 (5-24,624)","48475.9792673088 (235.311707364292-1139139.0323532)","1215.5144667681 (7.42303629814492-7637.09740018367)","51381.4552101198 (302.446363920984-1140194.11888483)","77 (46-90)","1777962.08369726 (14486.4973913758-15594054.5785801)","15258148.5678783 (8256273.83261118-31382393.381982)","1613504.89744151 (1496575.90366428-2140840.06449886)","16899068.1435412 (9890582.21125333-33176527.6540144)","14310993.3261171 (1385042.450488-31175481.5773247)","76 (44-89)"
"Central African Republic","76948.3669173325 (10165.1456782638-252262.986925085)","386 (11-7,998)","15666.4667742311 (450.572108577429-320289.859524431)","426.405689562479 (34.2744502335696-2861.24834781234)","16253.5216612325 (643.79272667411-321431.307583656)","73 (45-85)","350952.001579388 (26837.7102426531-3119772.20795664)","1826504.61715754 (836142.505498242-4133946.00344501)","338404.7083147 (314466.799537094-364721.810590977)","2167730.38605088 (1180650.02966964-4483614.54939188)","1700159.71736693 (-1003917.30987715-4088322.66663564)","71 (42-84)"
"Chad","87047.2548307924 (25468.8640527734-235798.213580351)","473 (19-8,596)","19968.0383830085 (761.662729633283-374119.915367071)","505.861449637799 (81.0347102956525-2842.02660618873)","20548.9783172078 (1097.6940839313-375594.942150528)","74 (44-87)","546435.088916944 (73119.1268595909-4555247.96145888)","6014397.50403413 (2751238.15524909-13622635.2493378)","968854.356185125 (900578.064713949-1044103.59366197)","6995010.39298026 (3731549.87794748-14623674.019519)","6162678.36041741 (1774670.39613639-14020491.2358354)","73 (41-86)"
"Comoros","3038.68403637075 (1766.60190461225-4662.5411716244)","17 (1-253)","896.618666742844 (40.5944033509604-12952.4719523677)","18.2423758582166 (4.3121797522908-68.8262798758145)","917.410516555802 (56.8908925686543-13010.8759109295)","80 (54-92)","18670.8231834391 (3838.9216914327-112271.203052937)","467094.483702998 (214062.718290979-1057979.19114275)","54358.938210906 (50514.1762152606-58591.0134623482)","522501.799524152 (269492.685380136-1114147.50507991)","497668.483199766 (233406.624714388-1100618.440063)","78 (52-91)"
"Congo Rep","35326.0925331401 (3712.05633802941-110711.005752072)","189 (5-3,486)","9562.79990658264 (260.707658218945-179419.715810558)","203.458465607544 (16.7942913033466-1262.53413539812)","9901.70641422605 (352.115375787172-179633.423392247)","79 (52-91)","577720.669839843 (46936.0543660757-5024829.94392198)","5095459.07575926 (3622290.27732935-8355149.7013223)","2994433.06931284 (2771811.46430044-3317970.58896336)","8095582.65710193 (6598958.89452337-11500649.8004733)","7364120.81052726 (2913764.72938015-10689105.6915448)","77 (50-90)"
"Cote dIvoire","378763.056633301 (2184.23624806739-1067265.16331864)","1,337 (7-27,286)","59047.9673800701 (320.487453184458-1186951.62404445)","1918.36110823025 (13.0587234456955-13688.8151249361)","62099.373524459 (358.60757477986-1194948.37022037)","77 (47-90)","2543617.7277664 (15864.1816600135-22323580.6872901)","18473037.0418851 (11682727.138766-34119682.2736965)","1562981.69246264 (1453398.26937537-1682750.44505194)","20068340.3904452 (13300437.0641582-35735046.6888515)","16473684.9973688 (-3266221.82908611-33090252.973142)","75 (44-89)"
"Cuba","1310.58662034328 (74.0156117344806-5764.75324577006)","7 (0-151)","439.723137715943 (7.35233754526986-9695.21097535031)","7.27634928584343 (0.37216656960472-59.8064214034963)","450.957974676359 (8.8936304992081-9725.58692247682)","61 (37-80)","45872.9928115195 (1738.60883627598-566860.566745967)","6547163.52753008 (4425344.48365967-11237899.8188742)","3641113.40442726 (3370518.76595474-4032358.82159534)","10182856.48031 (8039530.41735504-15078170.1746711)","10079880.7170367 (7897289.69334859-15004686.1975333)","56 (33-78)"
"Dem Republic of Congo","2780806.48367926 (467904.708811472-6265309.34947277)","13,900 (464-255,755)","661872.11258009 (21869.1079649421-12295917.0888158)","15022.7039898201 (1714.46625364793-80015.4911780181)","682070.905286808 (29817.5587100666-12348177.3327306)","71 (45-84)","8899241.63752134 (1068465.25805865-69722814.7401211)","40199383.1513762 (18501965.1328688-89593664.5758829)","4349491.22027194 (4042746.37300398-4687753.52733833)","44605092.0546762 (22941543.676743-93885859.2199371)","32608259.8110815 (-28601625.3647903-81915541.9624728)","69 (42-83)"
"Djibouti","3581.89974132443 (1887.26768244994-5279.03067736186)","20 (1-276)","1040.60366991107 (47.0664435796294-15259.0500596903)","20.5618276999138 (4.61998706748426-78.8379792360152)","1062.62911328066 (65.4643371624613-15293.3750210423)","69 (39-84)","33748.6840758802 (7081.83001694837-215330.642427968)","451625.824156796 (221006.901428362-971928.88488722)","45030.4414928888 (41767.1016169432-59700.2013825733)","497160.831086003 (266577.266620054-1022183.80547824)","453447.512730484 (183115.631022698-978195.991300365)","67 (37-83)"
"DPR Korea","89375.4990759828 (7520.2947928827-341308.426337291)","449 (10-10,581)","25586.818511256 (594.569738883319-618757.648222441)","492.76850575689 (31.387270693548-3921.72543837637)","26837.0186583941 (802.856636676479-619882.730853766)","65 (40-82)","457843.271244517 (28133.4662197841-4865405.69290985)","6042628.5234814 (2931028.16889618-13425006.0045773)","854562.286461248 (794180.532451852-921171.7775055)","6901625.68403038 (3795611.27613577-14308361.6193172)","6137585.51196239 (1356213.20020952-13651690.0156728)","62 (37-80)"
